Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*06v5l*,1,1,1,SF,Cooper Flagg,DAL,JAGO,Oct 9, 2025 11:00:06
*06v5k*,1,2,2,SG,VJ Edgecombe,PHI,TC,Oct 9, 2025 11:04:57,JH
*01eon*,1,3,3,SF,DeMar DeRozan,SAC,WGMO,Oct 9, 2025 11:35:49
*06v57*,1,4,4,SF,Ace Bailey,UTA,JH,Oct 9, 2025 11:38:08,CHIP
*04qrm*,1,5,5,SG,Collin Sexton,CHA,KLIU,Oct 9, 2025 11:40:10
*06v5n*,1,6,6,SF,Kon Knueppel,CHA,MLAM,Oct 9, 2025 12:59:15
*06v5y*,1,7,7,SG,Dylan Harper,SA,GMK,Oct 9, 2025 1:01:37
*06v58*,1,8,8,SG,Tre Johnson,WAS,JH,Oct 9, 2025 1:08:30, TC
*05ujd*,1,9,9,C,Neemias Queta,BOS,CLIU,Oct 9, 2025 2:08:06
*05ujc*,1,10,10,SG,Ayo Dosunmu,CHI,DAVE,Oct 9, 2025 2:08:51
*06v5v*,1,11,11,SG,Cedric Coward,MEM,LB,Oct 9, 2025 2:13:03
*06v5r*,1,12,12,PG,Egor Demin,BKN,JLIU,Oct 9, 2025 2:53:00
*05uug*,1,13,13,PF,Sam Hauser,BOS,CHIP,Oct 9, 2025 3:34:27,TFLA
*051op*,1,14,14,PF,Rui Hachimura,LAL,JH,Oct 9, 2025 3:36:39,PAN
*06v5e*,1,15,15,C,Yang Hansen,POR,JTTA,Oct 9, 2025 6:22:01
*0017e*,1,16,16,PG,Chris Paul,LAC,ACP,Oct 9, 2025 6:25:47
*06v5a*,2,1,17,PF,Collin Murray-Boyles,TOR,JAGO,Oct 9, 2025 7:52:24
*06v5h*,2,2,18,C,Derik Queen,NO,JH,Oct 9, 2025 8:36:59
*05uup*,2,3,19,C,Jay Huff,IND,WGMO,Oct 9, 2025 11:27:52
*06cc2*,2,4,20,SG,Gradey Dick,TOR,JH,Oct 10, 2025 6:39:34,CHIP
*06mkk*,2,5,21,SF,Ryan Dunn,PHO,KLIU,Oct 10, 2025 10:29:45
*06v80*,2,6,22,C,Ryan Kalkbrenner,CHA,MLAM,Oct 10, 2025 10:47:21
*04qsd*,2,7,23,C,Mitchell Robinson,NY,GMK,Oct 10, 2025 12:45:43
*06226*,2,8,24,C,Moussa Diabate,CHA,GMK,Oct 10, 2025 12:47:17,TC
*0623a*,2,9,25,PG,Scotty Pippen,MEM,CHIP,Oct 10, 2025 3:10:03,CLIU
*04qrl*,2,10,26,C,Wendell Carter,ORL,DAVE,Oct 10, 2025 3:48:25
*051ox*,2,11,27,SG,Nickeil Alexander-Walker,ATL,LB,Oct 10, 2025 3:49:25
*06v5g*,2,12,28,PG,Jeremiah Fears,NO,JLIU,Oct 10, 2025 5:57:35
*05uij*,2,13,29,PG,Davion Mitchell,MIA,TFLA,Oct 10, 2025 7:11:15
*0623m*,2,14,30,SG,Keon Ellis,SAC,PAN,Oct 10, 2025 10:07:15
*0496e*,2,15,31,SG,Alex Caruso,OKC,JTTA,Oct 11, 2025 3:19:48
*04qse*,2,16,32,SG,Gary Trent,MIL,ACP,Oct 11, 2025 7:30:00
*06218*,3,1,33,PF,Jeremy Sochan,SA,JAGO,Oct 11, 2025 10:12:39
*06v56*,3,2,34,PG,Walter Clayton,UTA,CHIP,Oct 11, 2025 10:25:39,JH
*04fj8*,3,3,35,PF,Chris Boucher,BOS,WGMO,Oct 11, 2025 11:26:15
*03byk*,3,4,36,SG,Jordan Clarkson,NY,CHIP,Oct 11, 2025 11:26:55
*06mln*,3,5,37,C,Adem Bona,PHI,KLIU,Oct 11, 2025 2:27:04
*05qt0*,3,6,38,SF,Saddiq Bey,NO,MLAM,Oct 11, 2025 3:31:50
*,3,7,39,,,,GMK,Oct 11, 2025 3:31:53
*06v55*,3,8,40,SG,Kasparas Jakucionis,MIA,TC,Oct 11, 2025 3:59:20
*06v5f*,3,9,41,C,Khaman Maluach,PHO,CLIU,Oct 11, 2025 5:15:16
*02ng3*,3,10,42,SF,Khris Middleton,WAS,DAVE,Oct 11, 2025 5:24:12
*04lcd*,3,11,43,PG,Bryce Alford,(N/A),LB,Oct 9, 2025 8:01:07
*06cbz*,3,12,44,SF,Brice Sensabaugh,UTA,JLIU,Oct 11, 2025 5:44:47
*05ujt*,3,13,45,SG,Aaron Wiggins,OKC,CHIP,Oct 11, 2025 7:07:41,TFLA
*031lv*,3,14,46,SG,Kentavious Caldwell-Pope,MEM,PAN,Oct 11, 2025 8:56:13
*06v5w*,3,15,47,SG,Nique Clifford,SAC,JTTA,Oct 11, 2025 10:43:01
*0558t*,3,16,48,SF,Max Strus,CLE,ACP,Oct 11, 2025 10:43:17
*04ex8*,4,1,49,SF,Dillon Brooks,PHO,JAGO,Oct 11, 2025 11:07:02
*06mly*,4,2,50,PF,Quinten Post,GS,JH,Oct 12, 2025 8:10:16
*06cbx*,4,3,51,SF,Jaime Jaquez,MIA,WGMO,Oct 12, 2025 8:47:55
*0621t*,4,4,52,SF,Peyton Watson,DEN,CHIP,Oct 12, 2025 9:08:36
*06v5q*,4,5,53,PF,Danny Wolf,BKN,KLIU,Oct 12, 2025 10:05:27
*03xmt*,4,6,54,C,Guerschon Yabusele,NY,MLAM,Oct 12, 2025 11:29:41
*,4,7,55,,,,GMK,Oct 12, 2025 11:29:45
*049ka*,4,8,56,PG,Lonzo Ball,CLE,TC,Oct 12, 2025 2:29:57
*05qtq*,4,9,57,PG,Tre Jones,CHI,CLIU,Oct 12, 2025 2:55:06
*05qtl*,4,10,58,PG,Cole Anthony,MIL,DAVE,Oct 12, 2025 3:18:58
*05uja*,4,11,59,PG,Miles McBride,NY,LB,Oct 12, 2025 4:23:19
*06cab*,4,12,60,PF,Jarace Walker,IND,JLIU,Oct 12, 2025 5:41:11
*0015e*,4,13,61,PG,Mike Conley,MIN,CHIP,Oct 12, 2025 6:43:16,TFLA
*051oy*,4,14,62,C,Goga Bitadze,ORL,PAN,Oct 12, 2025 9:16:16
*06v72*,4,15,63,PF,Rasheer Fleming,PHO,JTTA,Oct 12, 2025 9:30:14
*05uud*,4,16,64,SF,Justin Champagnie,WAS,ACP,Oct 12, 2025 9:30:40
